PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
36,0x000a,0.00370966,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
35,0x000a,1.90555,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
34,0x000a,0.000131185,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
25,0x000a,6.81966,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
23,0x000a,0.00370966,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
22,0x000a,1.90555,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
21,0x000a,0.000131185,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
7,0x0004,18855,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
38,0x000a,1.80122,0x00000000,2025-12-14T15:36:39.012Z,2025-12-14T15:36:39.012Z
36,0x000a,0.00185483,0x00000000,2025-12-14T15:36:39.012Z,2025-12-14T15:36:39.012Z
35,0x000a,1.65265,0x00000000,2025-12-14T15:36:39.012Z,2025-12-14T15:36:39.012Z
34,0x000a,6.55923e-05,0x00000000,2025-12-14T15:36:39.012Z,2025-12-14T15:36:39.012Z
25,0x000a,6.99978,0x00000000,2025-12-14T15:36:39.012Z,2025-12-14T15:36:39.012Z
23,0x000a,0.00185483,0x00000000,2025-12-14T15:36:39.012Z,2025-12-14T15:36:39.012Z
22,0x000a,1.65265,0x00000000,2025-12-14T15:36:39.009Z,2025-12-14T15:36:39.009Z
21,0x000a,6.55923e-05,0x00000000,2025-12-14T15:36:39.009Z,2025-12-14T15:36:39.009Z
7,0x0004,19353,0x00000000,2025-12-14T15:36:39.009Z,2025-12-14T15:36:39.009Z
38,0x000a,1.50101,0x00000000,2025-12-14T15:36:39.112Z,2025-12-14T15:36:39.112Z
36,0x000a,0.000927415,0x00000000,2025-12-14T15:36:39.112Z,2025-12-14T15:36:39.112Z
35,0x000a,1.72693,0x00000000,2025-12-14T15:36:39.112Z,2025-12-14T15:36:39.112Z
34,0x000a,3.27962e-05,0x00000000,2025-12-14T15:36:39.112Z,2025-12-14T15:36:39.112Z
25,0x000a,7.14988,0x00000000,2025-12-14T15:36:39.112Z,2025-12-14T15:36:39.112Z
23,0x000a,0.000927415,0x00000000,2025-12-14T15:36:39.112Z,2025-12-14T15:36:39.112Z
22,0x000a,1.72693,0x00000000,2025-12-14T15:36:39.110Z,2025-12-14T15:36:39.110Z
21,0x000a,3.27962e-05,0x00000000,2025-12-14T15:36:39.110Z,2025-12-14T15:36:39.110Z
7,0x0004,19768,0x00000000,2025-12-14T15:36:39.110Z,2025-12-14T15:36:39.110Z
36,0x000a,0.000463707,0x00000000,2025-12-14T15:36:39.213Z,2025-12-14T15:36:39.213Z
35,0x000a,1.61397,0x00000000,2025-12-14T15:36:39.213Z,2025-12-14T15:36:39.213Z
34,0x000a,1.63981e-05,0x00000000,2025-12-14T15:36:39.213Z,2025-12-14T15:36:39.213Z
25,0x000a,7.29999,0x00000000,2025-12-14T15:36:39.213Z,2025-12-14T15:36:39.213Z
23,0x000a,0.000463707,0x00000000,2025-12-14T15:36:39.213Z,2025-12-14T15:36:39.213Z
7,0x0004,20183,0x00000000,2025-12-14T15:36:39.209Z,2025-12-14T15:36:39.209Z
38,0x000a,1.39974,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
36,0x000a,0.000231854,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
35,0x000a,1.55749,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
34,0x000a,8.19904e-06,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
25,0x000a,7.43996,0x00000000,2025-12-14T15:36:39.310Z,2025-12-14T15:36:39.310Z
25,0x000a,7.5897,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
23,0x000a,0.000231854,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
22,0x000a,1.61397,0x00000000,2025-12-14T15:36:39.310Z,2025-12-14T15:36:39.310Z
22,0x000a,1.55749,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
21,0x000a,1.63981e-05,0x00000000,2025-12-14T15:36:39.310Z,2025-12-14T15:36:39.310Z
21,0x000a,8.19904e-06,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
7,0x0004,20570,0x00000000,2025-12-14T15:36:39.310Z,2025-12-14T15:36:39.310Z
7,0x0004,20984,0x00000000,2025-12-14T15:36:39.410Z,2025-12-14T15:36:39.410Z
38,0x000a,1.49739,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
36,0x000a,0.000115927,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
35,0x000a,1.47862,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
34,0x000a,4.09952e-06,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
25,0x000a,7.7398,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
23,0x000a,0.000115927,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
22,0x000a,1.47862,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
21,0x000a,4.09952e-06,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
7,0x0004,21399,0x00000000,2025-12-14T15:36:39.512Z,2025-12-14T15:36:39.512Z
38,0x000a,1.50101,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
36,0x000a,5.79634e-05,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
35,0x000a,1.488,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
34,0x000a,2.04976e-06,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
25,0x000a,7.8899,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
23,0x000a,5.79634e-05,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
22,0x000a,1.488,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
21,0x000a,2.04976e-06,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
7,0x0004,21814,0x00000000,2025-12-14T15:36:39.611Z,2025-12-14T15:36:39.611Z
38,0x000a,1.50102,0x00000000,2025-12-14T15:36:39.711Z,2025-12-14T15:36:39.711Z
36,0x000a,2.89817e-05,0x00000000,2025-12-14T15:36:39.711Z,2025-12-14T15:36:39.711Z
35,0x000a,1.49451,0x00000000,2025-12-14T15:36:39.711Z,2025-12-14T15:36:39.711Z
34,0x000a,1.02488e-06,0x00000000,2025-12-14T15:36:39.711Z,2025-12-14T15:36:39.711Z
25,0x000a,8.0599,0x00000000,2025-12-14T15:36:39.711Z,2025-12-14T15:36:39.711Z
23,0x000a,2.89817e-05,0x00000000,2025-12-14T15:36:39.711Z,2025-12-14T15:36:39.711Z
22,0x000a,1.49451,0x00000000,2025-12-14T15:36:39.710Z,2025-12-14T15:36:39.710Z
21,0x000a,1.02488e-06,0x00000000,2025-12-14T15:36:39.710Z,2025-12-14T15:36:39.710Z
15,0x0001,false,0x00000000,2025-12-14T15:36:39.710Z,2025-12-14T15:36:39.710Z
7,0x0004,22284,0x00000000,2025-12-14T15:36:39.710Z,2025-12-14T15:36:39.710Z
38,0x000a,3.20096,0x00000000,2025-12-14T15:36:39.812Z,2025-12-14T15:36:39.812Z
36,0x000a,1.44909e-05,0x00000000,2025-12-14T15:36:39.812Z,2025-12-14T15:36:39.812Z
35,0x000a,1.49776,0x00000000,2025-12-14T15:36:39.812Z,2025-12-14T15:36:39.812Z
34,0x000a,5.1244e-07,0x00000000,2025-12-14T15:36:39.812Z,2025-12-14T15:36:39.812Z
25,0x000a,8.21,0x00000000,2025-12-14T15:36:39.812Z,2025-12-14T15:36:39.812Z
23,0x000a,1.44909e-05,0x00000000,2025-12-14T15:36:39.812Z,2025-12-14T15:36:39.812Z
22,0x000a,1.49776,0x00000000,2025-12-14T15:36:39.810Z,2025-12-14T15:36:39.810Z
21,0x000a,5.1244e-07,0x00000000,2025-12-14T15:36:39.810Z,2025-12-14T15:36:39.810Z
7,0x0004,22699,0x00000000,2025-12-14T15:36:39.810Z,2025-12-14T15:36:39.810Z
38,0x000a,0.59679,0x00000000,2025-12-14T15:36:39.912Z,2025-12-14T15:36:39.912Z
36,0x000a,7.24543e-06,0x00000000,2025-12-14T15:36:39.912Z,2025-12-14T15:36:39.912Z
35,0x000a,2.34936,0x00000000,2025-12-14T15:36:39.912Z,2025-12-14T15:36:39.912Z
34,0x000a,2.5622e-07,0x00000000,2025-12-14T15:36:39.912Z,2025-12-14T15:36:39.912Z
25,0x000a,8.26968,0x00000000,2025-12-14T15:36:39.912Z,2025-12-14T15:36:39.912Z
23,0x000a,7.24543e-06,0x00000000,2025-12-14T15:36:39.912Z,2025-12-14T15:36:39.912Z
22,0x000a,2.34936,0x00000000,2025-12-14T15:36:39.909Z,2025-12-14T15:36:39.909Z
21,0x000a,2.5622e-07,0x00000000,2025-12-14T15:36:39.909Z,2025-12-14T15:36:39.909Z
7,0x0004,22864,0x00000000,2025-12-14T15:36:39.909Z,2025-12-14T15:36:39.909Z
36,0x000a,3.62271e-06,0x00000000,2025-12-14T15:36:40.010Z,2025-12-14T15:36:40.010Z
